"Potential_new_drug_targets";"OpenTargets_Drug_gene_list_overlap"
"Map2k1";"liver_disease_v23.09, lung_disease_v23.06, bronchial_disease_v23.06, anterior_horn_disorder_v23.12, amyotrophic_lateral_sclerosis_v23.06, large_intestine_disorder_v23.06, inherited_kidney_disorder_v23.06"
"Kcnq3";"epilepsy_v23.06, major_depressive_disorder_v23.06, anterior_horn_disorder_v23.12, amyotrophic_lateral_sclerosis_v23.06, multiple_sclerosis_v23.06"
"Cacna1c";"crohns_disease_v23.06, epilepsy_v23.06, myocardial_infarction_v23.06, coronary_artery_disease_v23.06, non-alcoholic_fatty_liver_disease_v23.06, inflammatory_bowel_disease_v23.06, chronic_kidney_disease_v23.06, insomnia_v23.06, alzheimer_disease_v23.06, bipolar_disorder_v23.06, schizophrenia_v23.06, type_1_diabetes_mellitus_v24.03, type_2_diabetes_mellitus_v24.03, parkinson_disease_v23.06, large_intestine_disorder_v23.06, inherited_kidney_disorder_v23.06"
"Kcnq2";"epilepsy_v23.06, major_depressive_disorder_v23.06, anterior_horn_disorder_v23.12, amyotrophic_lateral_sclerosis_v23.06, multiple_sclerosis_v23.06"
"Grm5";"liver_disease_v23.09, major_depressive_disorder_v23.06, parkinson_disease_v23.06, inherited_kidney_disorder_v23.06"
"Kcnv1";"anterior_horn_disorder_v23.12, multiple_sclerosis_v23.06"
"Kcnb1";"anterior_horn_disorder_v23.12, multiple_sclerosis_v23.06"
"Gria1";"epilepsy_v23.06, liver_disease_v23.09, attention_deficit_hyperactivity_disorder_v23.06, congenital_heart_disease_v23.06, major_depressive_disorder_v23.06, anterior_horn_disorder_v23.12, alzheimer_disease_v23.06, amyotrophic_lateral_sclerosis_v23.06, bipolar_disorder_v23.06, schizophrenia_v23.06, type_2_diabetes_mellitus_v24.03, parkinson_disease_v23.06, multiple_sclerosis_v23.06"
"Chrm1";"chronic_obstructive_pulmonary_disease_v23.06, coronary_artery_disease_v23.06, inflammatory_bowel_disease_v23.06, lung_disease_v23.06, bronchial_disease_v23.06, major_depressive_disorder_v23.06, anterior_horn_disorder_v23.12, alzheimer_disease_v23.06, amyotrophic_lateral_sclerosis_v23.06, asthma_v23.06, bipolar_disorder_v23.06, schizophrenia_v23.06, parkinson_disease_v23.06, large_intestine_disorder_v23.06"
"Kcnq5";"epilepsy_v23.06, major_depressive_disorder_v23.06, anterior_horn_disorder_v23.12, amyotrophic_lateral_sclerosis_v23.06, multiple_sclerosis_v23.06"
"Cacna1a";"insomnia_v23.06"
"Cacna1e";"insomnia_v23.06"
"Cacna2d3";"insomnia_v23.06"
"Gria2";"epilepsy_v23.06, liver_disease_v23.09, attention_deficit_hyperactivity_disorder_v23.06, congenital_heart_disease_v23.06, major_depressive_disorder_v23.06, anterior_horn_disorder_v23.12, alzheimer_disease_v23.06, amyotrophic_lateral_sclerosis_v23.06, bipolar_disorder_v23.06, schizophrenia_v23.06, type_2_diabetes_mellitus_v24.03, parkinson_disease_v23.06, multiple_sclerosis_v23.06"
"Gpd2";"chronic_obstructive_pulmonary_disease_v23.06, ulcerative_colitis_v23.06, liver_disease_v23.09, coronary_artery_disease_v23.06, non-alcoholic_fatty_liver_disease_v23.06, inflammatory_bowel_disease_v23.06, lung_disease_v23.06, chronic_kidney_disease_v23.06, major_depressive_disorder_v23.06, bipolar_disorder_v23.06, schizophrenia_v23.06, type_1_diabetes_mellitus_v24.03, type_2_diabetes_mellitus_v24.03, multiple_sclerosis_v23.06, large_intestine_disorder_v23.06, inherited_kidney_disorder_v23.06"
"Kcna2";"anterior_horn_disorder_v23.12, multiple_sclerosis_v23.06"
"Atp2a2";"liver_disease_v23.09"
"Ppp5c";"lung_disease_v23.06"
"Ppp3ca";"inherited_kidney_disorder_v23.06"
